Category,Name,MRP,Discount_Percentage,Available_Quantity,Discounted_Selling_Price,weight_In_Gms,Out_Of_Stock,Quantity,Discount_Amount,Discount %,Total Revenue,Price_Per_Gms,MRP Category
Ice Cream & Desserts,Knorr International Mexican Tomato Corn Soup ,6500.0,6.0,3,6100.0,52.0,FALSE,52,400.0,1.0,2704.0,117.31,High
Ice Cream & Desserts,Bagrry's Fruit Fibre Muesli Mixed Fruit ,59500.0,0.0,5,59500.0,1000.0,FALSE,1,0.0,1.0,1000.0,59.50,High
Ice Cream & Desserts,MTR Roasted Vermicelli ,10500.0,0.0,4,10500.0,850.0,FALSE,850,0.0,0.9,722500.0,12.35,High
Ice Cream & Desserts,Maggi 2-Minute Instant Noodles - Masala,4400.0,0.0,0,4400.0,280.0,TRUE,280,0.0,0.9,78400.0,15.71,High
Ice Cream & Desserts,"Kurkure Green Chutney, Rajasthani Style",2000.0,0.0,0,2000.0,90.0,TRUE,90,0.0,1.0,8100.0,22.22,Medium
Ice Cream & Desserts,Kellogg's Chocos Combo Pack,6000.0,6.0,0,5600.0,156.0,TRUE,156,400.0,1.0,24336.0,35.90,High
Ice Cream & Desserts,Kissan Mixed Fruit Jam ,15500.0,0.0,0,15500.0,500.0,TRUE,500,0.0,1.0,250000.0,31.00,High
Ice Cream & Desserts,Lijjat Urad Papad,6000.0,5.0,0,5700.0,200.0,TRUE,200,300.0,1.0,40000.0,28.50,High
Ice Cream & Desserts,Amul Cheese Spread Yummy Plain,8500.0,0.0,0,8500.0,200.0,TRUE,200,0.0,1.0,40000.0,42.50,High
Ice Cream & Desserts,Mother's Recipe Ginger And Garlic Paste,5000.0,24.0,0,3800.0,200.0,TRUE,200,1200.0,1.0,40000.0,19.00,High
Ice Cream & Desserts,Maggi Magic Cubes Chicken,4000.0,2.0,0,3900.0,40.0,TRUE,40,100.0,1.0,1600.0,97.50,High
Ice Cream & Desserts,Pedigree Puppy Chicken Chunks in Gravy ,3500.0,2.0,0,3400.0,70.0,TRUE,70,100.0,1.0,4900.0,48.57,Medium
Ice Cream & Desserts,The Whole Truth Peanut Butter - Unsweetened & Crunchy,18500.0,20.0,0,14800.0,325.0,TRUE,325,3700.0,1.0,105625.0,45.54,High
Ice Cream & Desserts,Ching's Chow Mein Hakka Noodles Masala,1000.0,0.0,0,1000.0,20.0,TRUE,20,0.0,1.0,400.0,50.00,Low
Ice Cream & Desserts,Safal Frozen Mixed Vegetables,6000.0,5.0,0,5700.0,500.0,TRUE,500,300.0,0.9,250000.0,11.40,High
Ice Cream & Desserts,Safal Frozen Corn,4100.0,4.0,0,3900.0,200.0,TRUE,200,200.0,1.0,40000.0,19.50,High
Ice Cream & Desserts,Amul Cheese Spread Spicy Garlic,8500.0,3.0,0,8200.0,200.0,TRUE,200,300.0,1.0,40000.0,41.00,High
Ice Cream & Desserts,Ching's Secret Veg Hakka Noodles,10700.0,0.0,0,10700.0,600.0,TRUE,600,0.0,0.9,360000.0,17.83,High
Ice Cream & Desserts,Saffola Oats 100 % Natural,1500.0,0.0,0,1500.0,38.0,TRUE,38,0.0,1.0,1444.0,39.47,Low
Ice Cream & Desserts,Lijjat Moong Papad,6000.0,5.0,0,5700.0,200.0,TRUE,200,300.0,1.0,40000.0,28.50,High
Ice Cream & Desserts,Mothers Recipe Papad - Sabudana With Rock Salt,3100.0,9.0,0,2800.0,70.0,TRUE,70,300.0,1.0,4900.0,40.00,Medium
Ice Cream & Desserts,Maggi Chilly Chow Cuppa Noodles,5000.0,0.0,0,5000.0,70.0,TRUE,70,0.0,1.0,4900.0,71.43,High
